t_s	status	BIG	BIG_MID	MID	LITTLE	skin	soc	cap_cpu2	cap_cpu7	cd_big	cd_cpu2	cd_cpu0	mem_avail_kb
530	1	42.000004	40.0	41.000004	42.000004	38.427147	39.593002	3052000	3782000	5471000	1853000	999000	7577216
535	1	42.000004	40.0	41.000004	42.000004	38.39295	39.518	3052000	3782000	5471000	1853000	999000	7579792
541	1	42.000004	40.0	41.000004	42.000004	38.372887	39.458	3052000	3782000	5471000	1853000	999000	7574168
546	1	42.000004	40.0	41.000004	42.000004	38.353634	39.403004	3052000	3782000	5471000	1853000	999000	7554156
551	1	42.000004	40.0	41.000004	42.000004	38.292454	39.352	3052000	3782000	5471000	1853000	999000	7547988
557	1	42.000004	40.0	41.000004	42.000004	38.233723	39.319	3052000	3782000	5471000	1853000	999000	7522396
562	1	41.000004	40.0	41.000004	42.000004	38.196743	39.280003	3052000	3782000	5471000	1853000	999000	7527420
567	1	41.000004	40.0	41.000004	42.000004	38.161243	39.195004	3052000	3782000	5471000	1853000	999000	7586232
573	1	42.000004	40.0	41.000004	42.000004	38.114876	39.136	3052000	3782000	5471000	1853000	999000	7578396
578	1	41.000004	41.000004	41.000004	42.000004	38.070366	39.118	3052000	3782000	5471000	1853000	999000	7585244
583	1	42.000004	40.0	41.000004	41.000004	38.002155	39.066	3052000	3782000	5471000	1853000	999000	7581276
589	1	41.000004	40.0	41.000004	42.000004	37.961937	39.052002	3052000	3782000	5471000	1853000	999000	7551528
594	1	42.000004	40.0	41.000004	41.000004	37.94701	38.999	3052000	3782000	5471000	1853000	999000	7552192
599	1	41.000004	40.0	41.000004	42.000004	37.888966	38.939003	3052000	3782000	5471000	1853000	999000	7539632
605	1	41.000004	40.0	41.000004	42.000004	37.893288	38.929	3052000	3782000	5471000	1853000	999000	7583408
610	1	41.000004	40.0	41.000004	41.000004	37.897434	38.942	3052000	3782000	5471000	1853000	999000	7585992
615	1	41.000004	40.0	40.0	41.000004	37.869713	38.902	3052000	3782000	5471000	1853000	999000	7578580
621	1	41.000004	41.000004	40.0	41.000004	37.810673	38.799004	3052000	3782000	5471000	1853000	999000	7575036
626	1	41.000004	40.0	40.0	41.000004	37.769962	38.749	3052000	3782000	5471000	1853000	999000	7553756
631	1	41.000004	41.000004	40.0	41.000004	37.724934	38.730003	3052000	3782000	5471000	1853000	999000	7541392
637	1	41.000004	39.0	40.0	41.000004	37.68171	38.68	3052000	3782000	5471000	1853000	999000	7547084
642	1	41.000004	39.0	40.0	41.000004	37.646618	38.635002	3052000	3782000	5471000	1853000	999000	7578840
647	1	41.000004	40.0	40.0	41.000004	37.61293	38.618	3052000	3782000	5471000	1853000	999000	7551804
652	1	41.000004	41.000004	40.0	41.000004	37.598705	38.605003	3052000	3782000	5471000	1853000	999000	7535988
658	1	41.000004	39.0	40.0	41.000004	37.547367	38.563004	3052000	3782000	5471000	1853000	999000	7526808
663	1	41.000004	39.0	40.0	41.000004	37.516563	38.516003	3052000	3782000	5471000	1853000	999000	7529472
668	1	41.000004	39.0	40.0	41.000004	37.47434	38.523003	3052000	3782000	5471000	1853000	999000	7589856
674	1	41.000004	39.0	40.0	41.000004	37.424683	38.475002	3052000	3782000	5471000	1853000	999000	7591396
679	1	40.0	39.0	40.0	41.000004	37.43541	38.425003	3052000	3782000	5471000	1853000	999000	7591252
684	1	41.000004	40.0	40.0	41.000004	37.39115	38.378002	3052000	3782000	5471000	1853000	999000	7561988
690	1	40.0	39.0	40.0	41.000004	37.348663	38.359	3052000	3782000	5471000	1853000	999000	7544332
695	1	40.0	39.0	40.0	41.000004	37.325436	38.333	3052000	3782000	5471000	1853000	999000	7555120
700	1	40.0	39.0	40.0	41.000004	37.3115	38.259003	3052000	3782000	5471000	1853000	999000	7540336
706	1	40.0	39.0	40.0	41.000004	37.278538	38.235	3052000	3782000	5471000	1853000	999000	7568564
711	1	40.0	39.0	40.0	41.000004	37.232903	38.245003	3052000	3782000	5471000	1853000	999000	7548232
716	1	40.0	39.0	40.0	41.000004	37.196217	38.218002	3052000	3782000	5471000	1853000	999000	7593288
722	1	40.0	39.0	40.0	41.000004	37.173378	38.189003	3052000	3782000	5471000	1853000	999000	7598184
727	1	40.0	39.0	41.000004	41.000004	37.151447	38.182003	3052000	3782000	5471000	1853000	999000	7569164
732	1	40.0	39.0	40.0	40.0	37.130695	38.169003	3052000	3782000	5471000	1853000	999000	7561696
738	1	40.0	39.0	40.0	40.0	37.105488	38.13	3052000	3782000	5471000	1853000	999000	7560660
743	1	40.0	39.0	40.0	40.0	37.09036	38.070004	3052000	3782000	5471000	1853000	999000	7553572
748	0	41.000004	39.0	40.0	41.000004	37.009247	38.143	3052000	3782000	5471000	1853000	999000	7497004
753	0	40.0	39.0	40.0	41.000004	36.952503	38.145	3052000	3782000	5471000	1853000	999000	7485108
