t_s	status	BIG	BIG_MID	MID	LITTLE	skin	soc	cap_cpu2	cap_cpu7	cd_big	cd_cpu2	cd_cpu0	mem_avail_kb
887	1	42.000004	40.0	41.000004	42.000004	37.813984	39.199	3052000	3782000	5471000	1853000	999000	7416272
892	1	41.000004	40.0	41.000004	41.000004	37.77754	39.156002	3052000	3782000	5471000	1853000	999000	7415248
898	1	41.000004	41.000004	41.000004	41.000004	37.74255	39.092003	3052000	3782000	5471000	1853000	999000	7478676
903	1	41.000004	40.0	40.0	41.000004	37.706917	39.009003	3052000	3782000	5471000	1853000	999000	7481944
908	1	41.000004	40.0	41.000004	41.000004	37.67271	38.989002	3052000	3782000	5471000	1853000	999000	7453020
914	1	41.000004	40.0	41.000004	41.000004	37.653084	38.973003	3052000	3782000	5471000	1853000	999000	7452040
919	1	41.000004	40.0	41.000004	41.000004	37.63424	38.923	3052000	3782000	5471000	1853000	999000	7448688
924	1	42.000004	40.0	41.000004	42.000004	37.57554	38.980003	3052000	3782000	5471000	1853000	999000	7446728
930	1	41.000004	41.000004	41.000004	41.000004	37.51918	39.026	3052000	3782000	5471000	1853000	999000	7439572
935	1	41.000004	40.0	40.0	41.000004	37.477024	38.955	3052000	3782000	5471000	1853000	999000	7440480
940	1	41.000004	40.0	40.0	41.000004	37.451733	38.836002	3052000	3782000	5471000	1853000	999000	7434100
945	1	41.000004	40.0	41.000004	42.000004	37.39667	38.745003	3052000	3782000	5471000	1853000	999000	7439376
951	1	41.000004	40.0	40.0	41.000004	37.34381	38.718002	3052000	3782000	5471000	1853000	999000	7477964
956	1	41.000004	40.0	41.000004	41.000004	37.275063	38.65	3052000	3782000	5471000	1853000	999000	7454236
961	1	41.000004	41.000004	41.000004	41.000004	37.233818	38.600002	3052000	3782000	5471000	1853000	999000	7453116
967	1	41.000004	39.0	40.0	41.000004	37.205276	38.536003	3052000	3782000	5471000	1853000	999000	7448252
972	1	41.000004	39.0	40.0	41.000004	37.177876	38.442	3052000	3782000	5471000	1853000	999000	7450492
977	1	41.000004	39.0	40.0	41.000004	37.15842	38.405003	3052000	3782000	5471000	1853000	999000	7454304
983	1	41.000004	39.0	40.0	41.000004	37.140182	38.379	3052000	3782000	5471000	1853000	999000	7454428
988	1	40.0	39.0	40.0	41.000004	37.13388	38.320004	3052000	3782000	5471000	1853000	999000	7456440
993	1	40.0	39.0	40.0	41.000004	37.1075	38.27	3052000	3782000	5471000	1853000	999000	7460528
999	0	40.0	39.0	40.0	41.000004	37.055042	38.22	3052000	3782000	5471000	1853000	999000	7482368
1004	0	55.000004	50.000004	53.000004	44.000004	37.027126	38.478	3052000	3782000	5471000	1853000	999000	7407548
1009	0	43.000004	42.000004	43.000004	44.000004	36.94703	39.173	3052000	3782000	5471000	1853000	999000	7316748
1014	0	44.000004	43.000004	44.000004	44.000004	36.862762	39.465	3052000	3782000	5471000	1853000	999000	7117880
1019	0	51.000004	48.000004	47.000004	48.000004	36.823017	40.178	3052000	3782000	5471000	1853000	999000	6944988
1025	0	52.000004	47.000004	47.000004	47.000004	36.61789	41.792004	3052000	3782000	5471000	1853000	999000	6888300
1030	0	51.000004	47.000004	48.000004	48.000004	36.494812	42.692	3052000	3782000	5471000	1853000	999000	6905504
1035	0	63.000004	53.000004	51.000004	51.000004	36.46308	43.263	3052000	3782000	5471000	1853000	999000	6818124
1041	0	66.0	56.000004	54.000004	54.000004	36.45594	43.696003	3052000	3782000	5471000	1853000	999000	6114472
1046	0	66.0	56.000004	55.000004	54.000004	36.426636	44.52	3052000	3782000	5471000	1853000	999000	5350672
1051	0	65.0	56.000004	55.000004	54.000004	36.53256	45.025	3052000	3782000	5471000	1853000	999000	4705540
1057	0	62.000004	59.000004	59.000004	55.000004	36.634247	45.312	3052000	3782000	5471000	1853000	999000	4143840
1062	0	60.000004	58.000004	59.000004	55.000004	36.81191	45.403004	3052000	3782000	5471000	1853000	999000	3877920
1067	0	59.000004	57.000004	57.000004	54.000004	36.918507	45.362003	3052000	3782000	5471000	1853000	999000	3581872
1072	0	60.000004	58.000004	59.000004	55.000004	37.285416	45.398003	3052000	3782000	5471000	1853000	999000	3208612
1078	0	70.0	60.000004	58.000004	57.000004	37.550873	45.682003	3052000	3782000	5471000	1853000	999000	2735368
1083	0	70.0	59.000004	58.000004	57.000004	37.667995	46.159	3052000	3782000	5471000	1853000	999000	2153800
1088	0	73.0	61.000004	59.000004	58.000004	37.78043	46.766003	3052000	3782000	5471000	1853000	999000	1462164
